radiocarbon_id,14C age,error
497,2810,40
2687,2810,105
1144,2810,90
1419,2810,60
833,2810,50
1169,2811,26
1161,2812,46
1271,2812,24
1333,2812,23
1894,2813,25
1303,2813,30
2586,2814,32
1241,2815,22
1488,2815,50
2270,2815,50
1190,2816,21
812,2817,32
1352,2817,56
2013,2820,40
1549,2820,40
2288,2820,40
1065,2820,40
2711,2820,40
1863,2820,39
1799,2820,30
1131,2820,40
453,2820,50
969,2820,40
2187,2820,35
428,2820,70
1440,2820,60
90,2820,35
1397,2822,25
1777,2822,34
2147,2822,34
1870,2824,37
1781,2825,22
1410,2825,47
1376,2825,35
1516,2826,41
935,2826,35
940,2826,30
1321,2827,36
1827,2827,41
2153,2827,29
2594,2827,22
926,2828,32
2061,2828,27
2578,2829,21
1313,2830,40
468,2830,50
1192,2830,40
2095,2830,35
952,2830,34
2564,2830,70
1756,2830,40
1185,2830,35
1162,2830,40
851,2830,50
995,2830,30
1230,2831,29
1846,2832,22
465,2833,55
1733,2834,33
1919,2834,36
2082,2835,35
2070,2835,31
2597,2835,35
1231,2838,45
1723,2838,33
1266,2839,26
776,2840,120
945,2840,25
806,2840,25
1215,2840,40
1214,2840,40
2549,2840,40
909,2840,40
868,2840,35
1207,2841,27
1334,2842,25
1825,2842,23
1779,2842,24
1002,2842,35
1693,2843,21
1732,2843,33
2602,2844,26
1903,2844,36
1611,2844,21
1003,2844,32
1761,2844,21
1289,2845,40
1291,2845,35
895,2845,16
1005,2845,33
2122,2845,35
910,2845,40
2018,2845,40
1301,2845,22
1226,2846,30
1796,2846,24
1895,2846,24
1783,2847,22
2492,2849,35
2256,2850,23
2194,2850,35
1224,2850,32
1489,2850,35
992,2850,30
1017,2850,50
2596,2850,35
1533,2850,40
1320,2850,35
2568,2850,40
1874,2850,35
1873,2850,20
1435,2850,60
1437,2850,80
867,2850,35
1153,2850,40
1700,2852,37
464,2852,55
857,2853,31
1332,2854,33
2146,2854,29
1734,2854,32
983,2854,33
2103,2855,35
1862,2855,40
1861,2855,27
2124,2855,35
2143,2855,38
1760,2855,22
2689,2855,105
891,2855,20
2724,2856,31
1061,2857,23
2152,2857,37
2607,2857,26
2118,2859,29
1522,2860,34
2548,2860,40
1308,2860,40
1265,2860,26
1797,2860,23
1547,2860,24
460,2860,140
2583,2860,23
2216,2860,70
864,2860,40
1092,2860,40
1029,2860,50
1917,2860,45
2314,2860,70
852,2860,70
1345,2861,28
950,2861,32
951,2861,33
1687,2861,18
1961,2861,28
1269,2862,20
1725,2863,32
1784,2863,26
1731,2863,33
1222,2864,29
2259,2864,24
1187,2864,34
1300,2864,23
2101,2865,35
1210,2865,25
1694,2865,21
1871,2865,25
937,2865,45
2065,2866,25
1337,2868,21
2655,2868,21
1256,2868,27
1239,2870,28
1307,2870,40
1460,2870,40
2343,2870,40
2128,2870,40
1663,2870,40
1125,2870,40
2698,2870,35
2162,2870,80
2589,2870,21
2307,2870,80
673,2870,80
2529,2870,40
998,2870,60
2133,2870,40
883,2870,60
920,2871,34
1591,2872,31
1749,2872,28
1401,2872,23
928,2872,30
1172,2872,22
904,2872,47
1167,2873,21
1819,2873,23
1189,2873,28
931,2873,30
